pair,locus,K,theta1,theta2,r_e,cf_slope,cf_intercept,p_gate_joint
P1,345,302,0.156310590873325,0.54981673351028,0.21388,0.883503604043532,0.03461571231297554,0.5698688293047767
P1,347,368,0.381641276775687,0.390343515431249,0.21388,0.9989961242966018,0.0005940823928408487,0.9952213093920497
P1,362,181,0.278471854722419,0.513929700320182,0.21388,0.9487760214640468,0.022576384325647503,0.7653159801861683
P1,404,406,0.128386063133009,0.399651318819688,0.21388,0.8692257994426905,0.040537112187854586,0.542250681532848
P1,423,368,0.129488553915608,0.393830929422509,0.21388,0.8595363303767122,0.044701471543212544,0.5146002024951061
P1,436,354,0.129372250671809,0.398520136628964,0.21388,0.8546610891199847,0.046232307266401464,0.5014663743153513
P1,438,391,0.419038574442892,0.401026974035401,0.21388,0.9996998895147055,0.0001795109178717231,0.998565703724115
P1,482,393,0.456905145529333,0.690388160113677,0.21388,0.9999759701272398,1.218358785592677e-05,0.999882186017008
P1,502,105,0.132883233544097,0.512530179095888,0.21388,0.7174914161298328,0.10254205889993832,0.22471568781076526
P1,523,177,0.129469104504189,0.400180754065173,0.21388,0.7659936914581822,0.08602878845297564,0.30439430369830917
P1,527,200,0.12934226113243,0.399615820240816,0.21388,0.7821935424435666,0.07783245424821392,0.3349685129995556
P1,533,328,0.349311713031205,0.397687074430516,0.21388,0.9965833904253218,0.001922232305472237,0.9837243262180752
P1,603,676,0.167322987490629,0.394914852384891,0.21388,0.9725188249519919,0.009162444598415436,0.8891292061170192
P1,626,162,0.217871789006907,0.400486452785583,0.21388,0.8801739883473898,0.05542644378947011,0.5293887899114816
P1,640,319,0.129573213846885,0.398502887768584,0.21388,0.842340006284195,0.05109961483506656,0.46917949751184074
P1,652,407,0.128664474764696,0.397582117534488,0.21388,0.8700534629300132,0.04041031220469965,0.5444578989391997
P1,654,288,0.268062848927138,0.402276663845393,0.21388,0.9753362223114119,0.011573340176884118,0.8876341773998808
P1,657,218,0.145540675871391,0.397872921750768,0.21388,0.8239793401419402,0.06464542749460615,0.4138835547267349
P1,694,254,0.236307905747425,0.410435288751402,0.21388,0.9486913420055656,0.02245391223774666,0.7762497811792824
P1,703,187,0.210926185699537,0.399446766636685,0.21388,0.8920088314691245,0.04800169309778565,0.5712909320778368
P1,719,166,0.129850513971977,0.401352421925453,0.21388,0.7580963754287213,0.09021999077202837,0.2900323624803861
P1,720,135,0.129657685079267,0.402016493743245,0.21388,0.7288417324486157,0.1058475624644066,0.24217796907193487
P1,731,299,0.182728013818702,0.398059316254548,0.21388,0.9163580711044054,0.031754852682095325,0.6676929425437508
P1,773,356,0.322205852094578,0.399190176502815,0.21388,0.9959256762713565,0.002142353818214546,0.9810168155330178
P1,807,303,0.220812132241846,0.38708738821008,0.21388,0.9525459743374339,0.020165531791488864,0.7962738260891326
