locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
1097,7,378,0.0328714,0.00658247,0.0,0.12713739417102826,0.0,0.13589896066280485,True,-0.0931983,-1.0,-inf,-1.0,0.75105,1.75105,
1098,7,413,0.00152891,0.00536503,0.19699337076311055,0.1357517833960562,0.8425133485490602,0.037619343015477646,False,-0.440557,-0.5675593672657793,-0.5675593672657793,-1.0,0.12782,1.12782,1.3386375443692167
1100,7,508,0.00932012,0.0105838,0.08643445349997352,0.07566387618985934,0.5825466920347937,0.09809577577848458,False,-0.152221,-0.429693927029516,-0.429693927029516,-1.0,0.56216,1.56216,2.6816047904134304
1103,7,324,0.0198094,0.011523,0.0,0.08195119341573102,0.0,0.16429082266113257,True,0.338174,1.0,inf,-0.54386,1.0,1.54386,
1109,7,283,0.0464119,0.00818257,0.0,0.12541344635182208,0.0,0.14512095712561301,True,0.240961,1.0,inf,-0.84227,1.0,1.84227,
1113,7,515,0.000187375,0.00458145,0.23461628952086125,0.1312916768321772,0.8865413972951773,0.024053324474559736,False,0.204457,0.20349154148452492,0.20349154148452492,-0.39142,0.85054,1.24196,1.4009046884772656
1117,7,560,0.0137766,8.67032e-05,0.047385241709976676,0.24099600793052323,0.623584458001755,0.05506728403579242,False,-0.13586,-0.3061771049387749,-0.3061771049387749,-1.0,0.43491,1.43491,2.3010676125541947
1118,7,333,0.00958256,0.00156985,0.10117700115977356,0.21792158521466265,0.7439450355466574,0.05476613672383807,False,-0.377202,-0.5806452306068876,-0.5806452306068876,-1.0,0.22509,1.22509,1.646748000811368
1119,7,487,0.00162693,9.7029e-10,0.17967505827531804,0.438685275860269,0.9553341698143869,0.007681945073374316,False,0.0399604,0.03378760641723629,0.03378760641723629,-0.42245,0.4462,0.8686499999999999,0.909262986132665
1122,7,261,0.00102145,0.000855436,0.26694880782034935,0.2748474812769285,0.9426492540604201,0.015872783335359165,False,-0.4732,-0.5188279534818488,-0.5188279534818488,-1.0,0.04311,1.04311,1.1065727740268712
1123,7,240,0.000424733,0.00233122,0.3169428305751995,0.2347108608046606,0.927340465422653,0.018859128238302113,False,0.10783,0.09594197069913013,0.09594197069913013,-0.56933,0.70305,1.27238,1.3720742784798987
1124,7,346,0.0206565,3.11401e-07,0.0,0.42896554530070935,0.0,0.06802462981336622,True,0.374344,1.0,inf,-0.14673,1.0,1.14673,
1125,7,440,0.0237291,3.38663e-05,0.0,0.29238996749357904,0.0,0.07865941448434177,True,-0.569703,-1.0,-inf,-1.0,-0.03452,0.96548,
1126,7,537,0.00132202,9.29133e-05,0.17842286843476599,0.24467099178063317,0.9549098643962279,0.010739924224956166,False,-0.510309,-0.5456524679995907,-0.5456524679995907,-1.0,-0.04831,0.95169,0.9966280959949411
1127,7,476,0.0137495,0.00088706,0.050579136793124355,0.2020912588315221,0.6096172361428817,0.06704549030765038,False,0.0947265,0.04540719660010035,0.04540719660010035,-0.73249,0.80793,1.5404200000000001,2.5268642496829887
1128,7,535,0.0202242,0.00130539,0.0,0.17914725494763098,0.0,0.10151523724346224,True,-0.537595,-1.0,-inf,-1.0,0.09516,1.09516,
1140,7,371,0.0283934,7.352e-06,0.0,0.3525388804148153,0.0,0.07413714201119959,True,-0.884311,-1.0,-inf,-1.0,-0.32013,0.67987,
1146,7,323,0.0322823,0.00321187,0.0,0.18513831572035908,0.0,0.11580463402406165,True,0.173838,1.0,inf,-0.7656,1.0,1.7656,
1147,7,325,0.000610074,0.00240811,0.25825293130241245,0.20011850905371256,0.9199688669827548,0.020436754813828464,False,0.283426,0.28586754902772316,0.28586754902772316,-0.32394,0.95759,1.28153,1.3930145312450262
1150,7,180,0.0370651,0.00105375,0.0,0.32193967206304,0.0,0.09853962540695531,True,0.0539552,-1.0,-inf,-1.0,0.95277,1.9527700000000001,
1151,7,83,0.0467983,0.0213486,0.0,0.0,0.0,0.21794,True,0.840765,1.0,inf,0.00032,1.0,0.99968,
1158,7,93,0.00503677,0.000956433,0.28962057762802684,0.46591028803036455,0.8744583360501929,0.03393719563661486,False,0.120181,0.0986254013575266,0.0986254013575266,-0.66553,0.84158,1.50711,1.7234783383819143
1162,7,391,5.09701e-07,0.00203855,0.3928721652746398,0.19031940912633397,0.9472738495287005,0.010111224838840405,False,-0.17469,-0.19508743425228622,-0.19508743425228622,-0.82091,0.27438,1.09529,1.1562548681618756
1164,7,354,0.0336489,8.39867e-06,0.0,0.35859736403893866,0.0,0.07438697725213972,True,0.567558,1.0,inf,-0.00199,1.0,1.00199,
1165,7,327,3.26387e-05,3.83588e-07,0.3423125638403931,0.4383059385638399,0.9962043966017564,0.0010098333545502116,False,0.0730358,0.07230039025238608,0.07230039025238608,-0.34079,0.46009,0.80088,0.803931404771907
1167,7,267,5.50099e-05,0.0221429,0.366571751635931,0.0,0.0,0.07971276537338862,True,0.488143,1.0,inf,-0.11268,1.0,1.1126800000000001,
