rho,n_gate_pass,gate_rate,n_nonfinite,n_paramlim_dropped,paramlim_drop_frac,n_reported,mean_rho_hat,se_mean,median_rho_hat,mean_rho_hat_ungated,mean_h2_1_gated,mean_h2_2_gated,scenario
0.9,10050,0.05025,0,197,0.019601990049751244,9853,0.4048108266946927,0.0036851159998113592,0.4165168081314513,0.4079250615697017,0.32807686421160936,0.37571259895621806,S5_smallK
0.0,44541,0.222705,0,8,0.00017960979771446532,44533,-0.000952896292465869,0.0014012296636280684,-0.00096320950177691,-0.0006295672587561957,0.15250773430691436,0.22966657426227988,S6_largeK
0.1,44477,0.222385,0,11,0.0002473188389504688,44466,0.06862330086673538,0.0014058362205640591,0.06666341930774689,0.08877055083917722,0.15256001619757983,0.23040624573308144,S6_largeK
0.2,44318,0.22159,0,22,0.0004964122929735096,44296,0.1437423434388112,0.001399760494603259,0.14224054361316857,0.1765942571265463,0.15255552130517705,0.2300204075229473,S6_largeK
0.3,44585,0.222925,0,34,0.0007625883144555343,44551,0.21612290928713668,0.0013984604924405421,0.2135875591301696,0.2649880581334251,0.1527993293368988,0.22943174250445664,S6_largeK
0.4,44429,0.222145,0,88,0.0019806882891804903,44341,0.2839714283455113,0.0013979543363466572,0.28212292907689607,0.3468122310670262,0.1524383586156816,0.2293276785837517,S6_largeK
0.5,44514,0.22257,0,140,0.0031450779530035494,44374,0.35561086965641,0.001377032117977939,0.3528647546013752,0.425185180976386,0.15273185957134996,0.23005331494225922,S6_largeK
0.6,44256,0.22128,0,242,0.005468185104844541,44014,0.4225874051750248,0.001360055268781327,0.41960188036581814,0.5007607477944788,0.15266167183805676,0.23043703348382805,S6_largeK
0.7,44449,0.222245,0,447,0.01005646921190578,44002,0.4910611461749634,0.0013302040870285454,0.4910300242866358,0.57145512437139,0.1527366955004026,0.2296752235591858,S6_largeK
0.8,44172,0.22086,0,808,0.018292130761568413,43364,0.5539019601035906,0.0013072010367894435,0.5599323151483451,0.6357717059562472,0.15252253532641735,0.23002101376022668,S6_largeK
0.9,44502,0.22251,0,1312,0.02948182104175093,43190,0.6131962086433902,0.001251331069430811,0.6221084714422276,0.695092082402121,0.15235440365642025,0.23011814056416297,S6_largeK
