locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
165,1,196,0.00227913,0.00071601,0.26160383960763356,0.32797174716359917,0.9228116575614131,0.041197901427959795,False,0.315889,0.29766756447131193,0.29766756447131193,-0.33794,0.91253,1.25047,1.3550652397526535
168,1,345,0.0309734,1.4894e-05,0.0,0.3509013890265262,0.0,0.14885275440146975,True,-0.606446,-1.0,-inf,-1.0,-0.01941,0.98059,
170,1,216,0.0180371,0.00108056,0.016644536356353653,0.2914571975570573,0.3205754500761342,0.1791246075602597,False,0.138722,-0.12603150849718645,-0.12603150849718645,-0.81973,0.8228,1.6425299999999998,5.123692408791477
176,1,314,3.03769e-05,0.00215181,0.351554878512961,0.20931076518856795,0.9427483686985394,0.025084470577445065,False,0.295456,0.2867907687772526,0.2867907687772526,-0.25361,0.79136,1.04497,1.1084293908061353
179,1,464,0.00492337,0.0182224,0.13367567661976112,0.01170810102268755,0.283083374638733,0.2314225313282077,False,-0.102398,-1.0,-1.1792304361011123,-1.0,0.58022,1.58022,5.582171690642922
180,1,294,0.0121788,4.22056e-05,0.07839441423028326,0.3554097743579241,0.6915060536458709,0.09236190835963579,False,-0.0363633,-0.18615196162195513,-0.18615196162195513,-0.95164,0.51679,1.4684300000000001,2.1235244322994777
182,1,225,0.0238879,0.00231721,0.0,0.24286004976227896,0.0,0.21503508965126208,True,0.246069,1.0,inf,-0.70063,1.0,1.7006299999999999,
185,1,251,0.000668451,0.0213888,0.29116943410942697,0.0,0.0,0.18476710317305292,True,-0.0665676,-1.0,-inf,-1.0,0.57079,1.5707900000000001,
187,1,305,0.000405639,0.0344609,0.2813761003759359,0.0,0.0,0.17713532890461647,True,0.246047,1.0,inf,-0.61945,1.0,1.61945,
188,1,167,3.51063e-05,1.39844e-15,0.4900458106357353,1.1252574462032081,0.9964802525435315,0.0014908443865741102,False,0.331191,0.3308647158554935,0.3308647158554935,-0.00999,0.63984,0.64983,0.6521253164237814
189,1,197,0.000235607,0.00861492,0.3771037441271149,0.14232673575466945,0.8001567979769837,0.07720305372608895,False,0.479,0.5021477631506277,0.5021477631506277,-0.13323,1.0,1.13323,1.416259916637735
190,1,339,0.000264758,0.00400937,0.27986191092619844,0.16792375659474057,0.8974582130008469,0.04575623832949488,False,0.351063,0.3401905038560464,0.3401905038560464,-0.2471,0.95688,1.20398,1.3415443555574926
191,1,337,0.0449858,0.0208248,0.0,0.0,0.0,0.42776,True,0.218839,-1.0,-inf,-1.0,1.0,2.0,
192,1,345,0.000925592,8.54541e-08,0.23546013158299053,0.4534581632650201,0.9706394705600003,0.011602963721868791,False,0.24423,0.23966368907697466,0.23966368907697466,-0.2212,0.65597,0.87717,0.9037032045419768
195,1,443,1.42786e-07,0.00611689,0.38803193545856807,0.12316880204784034,0.8636059127259402,0.04198274036949573,False,0.0938531,0.06006253415609139,0.06006253415609139,-0.50327,0.54213,1.0453999999999999,1.210505839058273
197,1,168,0.0411767,0.00285117,0.0,0.2660291353703496,0.0,0.22251364308980134,True,0.322719,1.0,inf,-0.69203,1.0,1.69203,
198,1,340,0.0131919,0.0441734,0.0634491571371501,0.0,0.0,0.34222949821950266,True,-0.156903,-1.0,-inf,-1.0,0.69308,1.6930800000000001,
201,2,232,0.0266238,0.0120666,0.0,0.08835358353166166,0.0,0.32941750672289427,True,0.670729,1.0,inf,-0.09546,1.0,1.09546,
204,2,327,0.000558015,0.0147079,0.26060191447856945,0.04902885988865302,0.5701012282757195,0.13401312011352007,False,0.620051,0.8525466281777878,0.8525466281777878,0.03852,1.0,0.96148,1.6865075048303475
205,2,331,0.0191924,0.0365044,0.0023665385780840932,0.0,0.0,0.4242962582089031,True,-0.197085,-1.0,-inf,-1.0,0.6208,1.6208,
208,2,218,0.0407674,0.0103176,0.0,0.11312259997794637,0.0,0.3091711708030036,True,0.346348,1.0,inf,-0.76904,1.0,1.76904,
210,2,295,0.016793,0.0098705,0.028662665571068585,0.10361740301725841,0.3442870399673634,0.26905173181477127,False,0.533081,0.7668870376597893,0.7668870376597893,-0.25332,1.0,1.25332,3.6403345305092176
212,2,381,0.00199504,0.0142627,0.1936918945783201,0.05036202657136386,0.5722650839592183,0.15386492596937396,False,0.47517,0.5614619571190254,0.5614619571190254,-0.2088,1.0,1.2088,2.1123077991005714
215,2,302,0.0205321,0.0212123,0.0,0.0,0.0,0.42776000000000003,True,0.0418709,-1.0,-inf,-1.0,0.87889,1.87889,
219,2,271,0.0255436,0.00887819,0.0,0.1194653102819559,0.0,0.2926432680933176,True,0.53138,1.0,inf,-0.33843,1.0,1.33843,
222,2,395,0.000173492,0.0214068,0.2701728983950226,0.0,0.0,0.16735410547407056,True,0.156045,-1.0,-inf,-0.65585,0.79787,1.4537200000000001,
223,2,449,0.00200201,0.0384258,0.1787432753669068,0.0,0.0,0.2105766617572936,True,0.263814,1.0,inf,-0.69973,1.0,1.69973,
225,2,286,0.000160369,0.00284279,0.32187121543189295,0.20379398687718903,0.9241988310687008,0.03511396966720746,False,-0.0979075,-0.1439316575561858,-0.1439316575561858,-0.91266,0.40242,1.31508,1.4229405575846727
226,2,368,0.00629017,4.00119e-05,0.1320901931277158,0.3169651063040129,0.8571850362717782,0.052369020031507174,False,0.639509,0.6849629369665464,0.6849629369665464,0.1817,1.0,0.8183,0.9546363566483803
227,2,285,0.000137765,1.70722e-06,0.3271798809112196,0.43999892935348245,0.9910004239470052,0.004583599380778336,False,0.143727,0.14040700413127422,0.14040700413127422,-0.34135,0.53472,0.8760699999999999,0.8840258579413571
230,2,370,0.000118366,1.28225e-08,0.28951869508658,0.4685131027981656,0.9922085325389021,0.0034234812634891584,False,0.0640965,0.06114946278607214,0.06114946278607214,-0.38478,0.4105,0.79528,0.8015250563961654
231,2,281,0.00196578,0.00235577,0.22598165527416456,0.2162903159469532,0.8947080592874651,0.054936148140955446,False,0.0767212,0.024348782413331466,0.024348782413331466,-0.73854,0.65915,1.3976899999999999,1.5621743712838616
234,2,364,3.08691e-06,7.51543e-05,0.3737848931894906,0.30355961279550325,0.9932469196530725,0.003540321021501005,False,0.136121,0.1334820942860891,0.1334820942860891,-0.33031,0.51605,0.84636,0.8521143969876311
235,2,302,0.0180045,0.030668,0.015318484985896913,0.0,0.0,0.4066063881811033,True,0.0192064,-1.0,-inf,-1.0,0.8714,1.8714,
240,2,279,0.00341189,0.000333706,0.19512959977371902,0.3016450588053532,0.9082920282860705,0.04324082511192448,False,0.158902,0.1273391940985389,0.1273391940985389,-0.53476,0.70591,1.2406700000000002,1.3659373432365365
241,2,261,3.91333e-05,0.00443631,0.3809299580058631,0.1833612909903711,0.8985578489988503,0.04082490531824081,False,0.134689,0.10446082551762262,0.10446082551762262,-0.51831,0.65253,1.17084,1.3030212816064315
