"locus","K","theta1","theta2","sigma12","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
1384,191,0.130898403207529,0.232534246434464,3.55146786821603e-07,0.02756,0.2,2000,471,0,471,0.2355,0.188839055414013,0.0153556386209316
1384,191,0.130898403207529,0.232534246434464,3.55146786821603e-07,0.02756,0.4,2000,463,5,458,0.2315,0.337674281965065,0.0161620389013616
1384,191,0.130898403207529,0.232534246434464,3.55146786821603e-07,0.02756,0.6,2000,467,7,460,0.2335,0.446531734152174,0.0164847717897231
1384,191,0.130898403207529,0.232534246434464,3.55146786821603e-07,0.02756,0.8,2000,483,17,466,0.2415,0.564136784206009,0.0136082872881421
2418,196,0.113852175377829,0.159186977050365,3.56266045757924e-07,0.02756,0,2000,263,0,263,0.1315,0.00283179923954373,0.0219046788840262
2418,196,0.113852175377829,0.159186977050365,3.56266045757924e-07,0.02756,0.2,2000,266,0,266,0.133,0.161935872638722,0.0201924305357348
2418,196,0.113852175377829,0.159186977050365,3.56266045757924e-07,0.02756,0.4,2000,257,4,253,0.1285,0.261713090747036,0.0212486112925836
2418,196,0.113852175377829,0.159186977050365,3.56266045757924e-07,0.02756,0.6,2000,278,3,275,0.139,0.423763088727273,0.0215018312463926
2418,196,0.113852175377829,0.159186977050365,3.56266045757924e-07,0.02756,0.8,2000,268,7,261,0.134,0.531682020498084,0.0191305012337125
910,201,0.0463526325852089,0.325478355637977,3.55526518814828e-07,0.02756,0,2000,204,1,203,0.102,0.0062239515270936,0.0231287657552205
910,201,0.0463526325852089,0.325478355637977,3.55526518814828e-07,0.02756,0.2,2000,197,0,197,0.0985,0.074529592893401,0.0234858931629291
910,201,0.0463526325852089,0.325478355637977,3.55526518814828e-07,0.02756,0.4,2000,204,1,203,0.102,0.209605649852217,0.0226990442501764
910,201,0.0463526325852089,0.325478355637977,3.55526518814828e-07,0.02756,0.6,2000,198,1,197,0.099,0.35923349928934,0.0234156007966721
910,201,0.0463526325852089,0.325478355637977,3.55526518814828e-07,0.02756,0.8,2000,198,0,198,0.099,0.399319647530303,0.0228579160697694
1459,213,0.046356168170456,0.246072933970217,3.55200949165435e-07,0.02756,0,2000,163,0,163,0.0815,-0.0192671259509202,0.0251963421661641
1459,213,0.046356168170456,0.246072933970217,3.55200949165435e-07,0.02756,0.2,2000,184,0,184,0.092,0.135103905190217,0.0251054957351453
1459,213,0.046356168170456,0.246072933970217,3.55200949165435e-07,0.02756,0.4,2000,178,0,178,0.089,0.258003398033708,0.0252997404313971
1459,213,0.046356168170456,0.246072933970217,3.55200949165435e-07,0.02756,0.6,2000,166,1,165,0.083,0.322175619636364,0.0265431046589016
1459,213,0.046356168170456,0.246072933970217,3.55200949165435e-07,0.02756,0.8,2000,203,2,201,0.1015,0.401873889651741,0.024226493812087
646,218,0.0852940519589531,0.1501659320664,3.56482703338776e-07,0.02756,0,2000,206,0,206,0.103,0.035127622184466,0.0266927837901982
646,218,0.0852940519589531,0.1501659320664,3.56482703338776e-07,0.02756,0.2,2000,203,1,202,0.1015,0.136289347326733,0.0257513994256748
646,218,0.0852940519589531,0.1501659320664,3.56482703338776e-07,0.02756,0.4,2000,192,1,191,0.096,0.265704426439791,0.0269304495739125
646,218,0.0852940519589531,0.1501659320664,3.56482703338776e-07,0.02756,0.6,2000,201,0,201,0.1005,0.387864405970149,0.0227388986075459
646,218,0.0852940519589531,0.1501659320664,3.56482703338776e-07,0.02756,0.8,2000,186,6,180,0.093,0.408578772222222,0.0238433639207705
996,225,0.0628707589205395,0.196007637504177,3.56448409053405e-07,0.02756,0,2000,189,2,187,0.0945,0.040035421657754,0.025657368395834
996,225,0.0628707589205395,0.196007637504177,3.56448409053405e-07,0.02756,0.2,2000,200,0,200,0.1,0.11405841906,0.0239633855370788
996,225,0.0628707589205395,0.196007637504177,3.56448409053405e-07,0.02756,0.4,2000,198,0,198,0.099,0.298561869747475,0.0247438280189389
996,225,0.0628707589205395,0.196007637504177,3.56448409053405e-07,0.02756,0.6,2000,214,2,212,0.107,0.313695610990566,0.0247524107921479
