"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,0.2,2000,922,2,920,0.461,0.189097705684783,0.00968646003915501
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,0.4,2000,953,3,950,0.4765,0.354232192755789,0.00929610407317097
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,0.6,2000,930,10,920,0.465,0.509776864002174,0.00924754384512883
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,0.8,2000,914,43,871,0.457,0.657805069586682,0.00845481816418309
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,-0.8,2000,1695,60,1635,0.8475,-0.765976930642202,0.00457099153067076
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,-0.6,2000,1650,7,1643,0.825,-0.586264680158247,0.00509759524052955
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,-0.4,2000,1677,3,1674,0.8385,-0.396136893573477,0.00505521876796932
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,-0.2,2000,1685,0,1685,0.8425,-0.207503041443917,0.00532171523030397
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,0,2000,1683,0,1683,0.8415,-0.00112195280154486,0.00507259671712
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,0.2,2000,1675,0,1675,0.8375,0.198747622704478,0.00496241763469822
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,0.4,2000,1655,2,1653,0.8275,0.390713990435572,0.0049868776685601
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,0.6,2000,1679,2,1677,0.8395,0.58791981352415,0.00494867713041174
466,423,0.194587858954891,0.454158015253442,82.310664337919,0.02756,0.8,2000,1655,42,1613,0.8275,0.771200151704898,0.00445922105454172
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,-0.8,2000,157,2,155,0.0785,-0.37519513483871,0.0293180847071322
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,-0.6,2000,129,0,129,0.0645,-0.291350459069767,0.0298343383030347
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,-0.4,2000,132,0,132,0.066,-0.145688124848485,0.0259534185336248
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,-0.2,2000,149,0,149,0.0745,-0.0648490479865772,0.0291759919983459
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,0,2000,142,0,142,0.071,0.0642383817605634,0.0326351685108253
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,0.2,2000,146,0,146,0.073,0.21383708109589,0.0319953559223632
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,0.4,2000,146,1,145,0.073,0.208777678,0.0284278411973111
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,0.6,2000,155,3,152,0.0775,0.340670413026316,0.0292925946336275
667,234,0.0711537398834298,0.128650073737763,16.6499751327226,0.02756,0.8,2000,151,1,150,0.0755,0.4661029352,0.0274541387486164
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,-0.8,2000,322,3,319,0.161,-0.475416973605016,0.017256690395287
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,-0.6,2000,312,3,309,0.156,-0.342045673679612,0.0187726463124627
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,-0.4,2000,350,0,350,0.175,-0.224632721020286,0.0182845437235378
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,-0.2,2000,303,2,301,0.1515,-0.118049433817276,0.0168189549619587
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,0,2000,337,0,337,0.1685,-0.00288378868350148,0.0180139109303399
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,0.2,2000,314,0,314,0.157,0.171987006210191,0.0178960939398716
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,0.4,2000,310,0,310,0.155,0.254814487645161,0.0179302327022364
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,0.6,2000,323,1,322,0.1615,0.396064323869565,0.016797246054953
698,424,0.0603858206642543,0.16321496442867,25.6035879616438,0.02756,0.8,2000,288,7,281,0.144,0.507434402846975,0.0174020704856248
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,-0.8,2000,177,0,177,0.0885,-0.359651871525424,0.0241225262879283
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,-0.6,2000,186,3,183,0.093,-0.251979538251366,0.02598473537748
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,-0.4,2000,158,0,158,0.079,-0.163433149815823,0.0279909159098771
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,-0.2,2000,178,0,178,0.089,-0.086760443494382,0.0259993040745636
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,0,2000,186,0,186,0.093,0.0321434786021505,0.0260775728379342
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,0.2,2000,230,0,230,0.115,0.138475459626087,0.0229755087270128
