"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,0.4,2000,1265,0,1265,0.6325,0.382363931563636,0.00676393830909011
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,0.6,2000,1277,4,1273,0.6385,0.578372324296936,0.00638715478452785
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,0.8,2000,1293,28,1265,0.6465,0.736999184608696,0.00568245480624944
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,-0.8,2000,1381,75,1306,0.6905,-0.715372521286371,0.00590931113484263
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,-0.6,2000,1374,17,1357,0.687,-0.555767139060427,0.00666936946472422
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,-0.4,2000,1351,3,1348,0.6755,-0.372962716485163,0.00693893114852186
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,-0.2,2000,1370,0,1370,0.685,-0.180833769301752,0.00671198577228265
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,0,2000,1383,0,1383,0.6915,0.0224992336232827,0.00668681909095695
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,0.2,2000,1346,0,1346,0.673,0.202931001938336,0.00640342484955369
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,0.4,2000,1344,1,1343,0.672,0.385486224259121,0.00638331811851228
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,0.6,2000,1348,9,1339,0.674,0.57622106476475,0.00600721663356516
436,351,0.170672051889069,0.398933787411736,59.9058902130632,0.10897,0.8,2000,1404,40,1364,0.702,0.739551440029325,0.0052635252687729
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,-0.8,2000,1535,64,1471,0.7675,-0.742983737729436,0.00510161072544609
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,-0.6,2000,1558,15,1543,0.779,-0.569852272365522,0.00585703226928777
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,-0.4,2000,1539,4,1535,0.7695,-0.394271666834528,0.0059293496094454
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,-0.2,2000,1555,0,1555,0.7775,-0.200242254925402,0.00598449025472472
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,0,2000,1541,0,1541,0.7705,0.00889537127306944,0.00560772002514265
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,0.2,2000,1581,0,1581,0.7905,0.204349076290323,0.00561532633881374
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,0.4,2000,1554,0,1554,0.777,0.389607489490348,0.00531864404783504
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,0.6,2000,1541,3,1538,0.7705,0.58663525526658,0.00508209823163818
450,459,0.169386318111954,0.398817292339747,77.7483200133867,0.10897,0.8,2000,1567,39,1528,0.7835,0.764475257395288,0.004485846028229
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,-0.8,2000,1152,53,1099,0.576,-0.678042465632393,0.00717243564662832
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,-0.6,2000,1131,18,1113,0.5655,-0.526363661719677,0.00786987646600351
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,-0.4,2000,1176,6,1170,0.588,-0.344184740333333,0.0080142016795036
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,-0.2,2000,1212,0,1212,0.606,-0.158450657634488,0.00824622229186094
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,0,2000,1189,0,1189,0.5945,0.00521115486291001,0.00792520460444004
