"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,0.8,2000,931,24,907,0.4655,0.737123943936053,0.00710616130614513
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,-0.8,2000,982,35,947,0.491,-0.621128364107709,0.00773522412578663
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,-0.6,2000,1006,11,995,0.503,-0.482778277356784,0.00829181215601323
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,-0.4,2000,1022,1,1021,0.511,-0.305599602238002,0.00824712275472656
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,-0.2,2000,1013,0,1013,0.5065,-0.132543718253702,0.00773283574665195
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,0,2000,1031,0,1031,0.5155,0.039310018500485,0.00770457687041883
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,0.2,2000,1009,0,1009,0.5045,0.210960543561943,0.00756389752840779
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,0.4,2000,1025,0,1025,0.5125,0.390898495014634,0.00723618020485611
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,0.6,2000,1023,2,1021,0.5115,0.56417560532713,0.0066057297414865
95,359,0.128055737831994,0.397959562852777,45.972009881686,0.21388,0.8,2000,980,8,972,0.49,0.728604963374486,0.00640292194720971
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,-0.8,2000,855,37,818,0.4275,-0.615993398080685,0.00904247962688327
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,-0.6,2000,877,7,870,0.4385,-0.462864927103448,0.00891648271966717
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,-0.4,2000,891,5,886,0.4455,-0.313181166659142,0.00947033664113575
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,-0.2,2000,854,1,853,0.427,-0.135363408412661,0.00926780027757125
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,0,2000,861,0,861,0.4305,0.0444346120360046,0.00931573431509992
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,0.2,2000,871,0,871,0.4355,0.210377541105626,0.00869137041495855
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,0.4,2000,894,0,894,0.447,0.401594589731544,0.00799795273295516
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,0.6,2000,903,3,900,0.4515,0.552840876188889,0.00783984038956748
99,295,0.129200282026362,0.399539513057045,38.1140831977769,0.21388,0.8,2000,917,12,905,0.4585,0.720475166850829,0.0067694599399133
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,-0.8,2000,907,60,847,0.4535,-0.618963084337662,0.00925861042489774
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,-0.6,2000,932,15,917,0.466,-0.482598275693893,0.00970711880108975
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,-0.4,2000,942,3,939,0.471,-0.318669432217252,0.0100156284657446
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,-0.2,2000,880,2,878,0.44,-0.12492567364533,0.0101912557960636
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,0,2000,918,0,918,0.459,0.0494007505610022,0.0102346498859498
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,0.2,2000,927,1,926,0.4635,0.232145071232181,0.0092579101959678
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,0.4,2000,944,1,943,0.472,0.404689691097879,0.00912255097996039
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,0.6,2000,926,6,920,0.463,0.556824636898913,0.00850626432816297
111,184,0.176161616570063,0.401600870848101,32.4137374488916,0.21388,0.8,2000,935,25,910,0.4675,0.718651533846154,0.00728436629093302
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,-0.8,2000,714,25,689,0.357,-0.579401644586357,0.0106572318557267
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,-0.6,2000,759,13,746,0.3795,-0.403722530981233,0.0106935441424049
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,-0.4,2000,711,3,708,0.3555,-0.259634130155367,0.0111043838763184
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,-0.2,2000,749,0,749,0.3745,-0.113564707437917,0.0111069429163152
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,0,2000,740,0,740,0.37,0.0557865995527027,0.0105452692443845
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,0.2,2000,713,0,713,0.3565,0.23289506828892,0.0107465675215378
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,0.4,2000,714,1,713,0.357,0.394797736704067,0.00959075771501355
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,0.6,2000,702,3,699,0.351,0.545084928483548,0.00914169407192497
118,224,0.128530773032075,0.397856800774297,28.7908931591847,0.21388,0.8,2000,741,16,725,0.3705,0.681642076551724,0.00857213897410682
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,-0.8,2000,1625,120,1505,0.8125,-0.72477703986711,0.00554560504412547
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,-0.6,2000,1642,35,1607,0.821,-0.569790594517735,0.00633305020963013
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,-0.4,2000,1612,8,1604,0.806,-0.387219354721322,0.00656284441384973
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,-0.2,2000,1625,0,1625,0.8125,-0.187419628778215,0.00635495014980723
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,0,2000,1639,0,1639,0.8195,-0.000957750134716291,0.00605354345726142
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,0.2,2000,1649,0,1649,0.8245,0.213107338260825,0.00579014751803751
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,0.4,2000,1635,0,1635,0.8175,0.404699026544343,0.00575846966604515
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,0.6,2000,1642,2,1640,0.821,0.595228765792683,0.00518766893305674
123,290,0.233980071400803,0.389922050387047,67.8542207062328,0.21388,0.8,2000,1614,34,1580,0.807,0.775724843101266,0.00454598098134167
